platform,URL,date_crawl,customer_name,time_comment,content,thank_count
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@tuancao6905,2024-03-01T12:54:00Z,đối với 1 reviewer thì chấp nhận được. nhưng với người bình thường chỉ dùng 1 máy thì iphone 15 nó hẹo quá.,0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@huyesther7072,2024-03-01T12:49:49Z,"Em đang dùng 13mini được gần 1 năm rùi, xem anh Vinh review dùng máy chính thấy ưng chốt đơn liền. Hiện giờ vẫn quá ngon, nhỏ nhẹ mượt, mỗi tội pin không trâu như lúc đầu.",9
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@vietanhnguyen5652,2024-03-01T12:46:19Z,quả áo t1 đẹp thế,2
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@102hphan6,2024-03-01T12:45:28Z,A dùng bản bao nhiu gb,0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@HuuHanh.,2024-03-01T12:39:41Z,Thấy thiếu tele Thế sao k dùng dòng 15 pro nhĩ? Năm nay titan nên con Pro nhẹ hẳn ra mà ta,0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@HuuHanh.,2024-03-01T12:36:39Z,"<a href=""https://www.youtube.com/watch?v=y_pe3ldKB9A&amp;t=340"">5:40</a> ₫úng thật là từ ngày dòng Plus ra là IP đã chấm dứt kỷ nguyên &quot;IP là auto pin yếu&quot;. Mãi sau này series nào ra cũng sẽ có 1 con pin rất ok. Vậy mà éo hiểu nỗi từ lúc đó tới tận bây giờ vẫn có mấy con  mồm cứ bảo pin IP yếu :))). Ngồi đáy giếng hơi bị lâu",5
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@Hieus7438,2024-03-01T12:34:47Z,"Vừa tiễn Mi 13, dùng mấy tháng khá chán vì mình ko hợp Android, lại mua con 11 Prm đồng bộ cho ngon",8
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@quocdung1505,2024-03-01T12:32:52Z,Quả táo cắn gần hết chứ có dở tí nào đâu,0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@pinkphuc,2024-03-01T12:32:08Z,"Em đã dùng qua ip12 ,13 và giờ 15 thì e lại rất thích dùng những con dòng thường vì tính di động rất cao,nhỏ gọn mỗi lần chạy xe hay đi bộ thì móc từ túi ra khá ok.Ngoài ra em không chọn pro cũng nhỏ gọn vì màu sắc mọi năm của dòng thường nó quá đẹp,trẻ trung.❤",33
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@duongnong8383,2024-03-01T12:28:52Z,13 mini tầm bao tiền nhỉ mn,0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@anhung2208,2024-03-01T12:28:12Z,12 thường dùng 2 năm vẫn chạy tốt đây 😂,0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@102hphan6,2024-03-01T12:27:53Z,Mua hàng ll/a ổn áp k a,1
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@thinle5863,2024-03-01T12:26:09Z,Mua 15 pro được mà. Nhỏ gọn có cam tele😂,1
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@PhiLe-pj9yw,2024-03-01T12:24:45Z,Xem yt màn viên thuốc bị mất 1 góc khó chịu ghê,0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@tonyan2864,2024-03-01T12:24:04Z,tao còn xài 13 thường thì sao?,1
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@PhongTran-sq3wl,2024-03-01T12:07:52Z,Mấy thánh ngoài kia chê thà mua 14pm       Khi chưa xài 15plus nen ko biết nó ok như nào,2
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@vanlampham4192,2024-03-01T11:56:51Z,<b>Rương công nghệ xem Game cực hay quá 3 tiếng =))))))))</b>,0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@22.nguyenkhaiminh91,2024-03-01T11:56:47Z,liệu có nên mua 14 pro cũ,0
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@LeDaoXuanMai,2024-03-01T11:54:38Z,"😁 ip thường giờ màu đẹp hơn dòng pro, và ng dùng cơ bản chỉ cần vậy là đủ",28
Youtube,https://www.youtube.com/watch?v=y_pe3ldKB9A,06/03/2024,@realvatvostudio,2024-03-01T11:53:38Z,"► Mua iPhone 15 tại XTMobile, giá chỉ từ 16,999 triệu đồng: <a href=""https://www.xtmobile.vn/iphone-15?utm_source=youtube&amp;utm_medium=vatvostudios&amp;utm_campaign=iphone-15-3-2024"">https://www.xtmobile.vn/iphone-15?utm_source=youtube&amp;utm_medium=vatvostudios&amp;utm_campaign=iphone-15-3-2024</a>",6
